Longitude, Latitude [Deg], Br[G]
         0  0.0000000000E+00  2  0  1
     180     180
Longitude Latitude Br
  5.3581608036E+00 -1.5446163880E+00 -7.9477658254E+00
  5.3930673887E+00 -1.5446163880E+00 -7.9593295458E+00
  5.4279739737E+00 -1.5446163880E+00 -7.9712659190E+00
  5.4628805587E+00 -1.5446163880E+00 -7.9828530498E+00
  5.4977871438E+00 -1.5446163880E+00 -7.9934784391E+00
  5.5326937288E+00 -1.5446163880E+00 -8.0044919408E+00
  5.5676003139E+00 -1.5446163880E+00 -8.0153735197E+00
  5.6025068989E+00 -1.5446163880E+00 -8.0247055932E+00
  5.6374134839E+00 -1.5446163880E+00 -8.0341909389E+00
  5.6723200690E+00 -1.5446163880E+00 -8.0439360077E+00
  5.7072266540E+00 -1.5446163880E+00 -8.0539332908E+00
  5.7421332391E+00 -1.5446163880E+00 -8.0641738067E+00
  5.7770398241E+00 -1.5446163880E+00 -8.0746493103E+00
  5.8119464091E+00 -1.5446163880E+00 -8.0853531761E+00
  5.8468529942E+00 -1.5446163880E+00 -8.0962783366E+00
  5.8817595792E+00 -1.5446163880E+00 -8.1074171356E+00
  5.9166661643E+00 -1.5446163880E+00 -8.1187641255E+00
  5.9515727493E+00 -1.5446163880E+00 -8.1303125334E+00
  5.9864793343E+00 -1.5446163880E+00 -8.1420567644E+00
  6.0213859194E+00 -1.5446163880E+00 -8.1539910763E+00
  6.0562925044E+00 -1.5446163880E+00 -8.1661104631E+00
  6.0911990895E+00 -1.5446163880E+00 -8.1784094770E+00
  6.1261056745E+00 -1.5446163880E+00 -8.1908828177E+00
  6.1610122595E+00 -1.5446163880E+00 -8.2035262152E+00
  6.1959188446E+00 -1.5446163880E+00 -8.2163333385E+00
  6.2308254296E+00 -1.5446163880E+00 -8.2293006539E+00
  6.2657320147E+00 -1.5446163880E+00 -8.2424224192E+00
  1.7453292520E-02 -1.5271630955E+00 -8.1378783723E+00
  5.2359877560E-02 -1.5271630955E+00 -8.4354605739E+00
  8.7266462600E-02 -1.5271630955E+00 -8.1195777990E+00
  1.2217304764E-01 -1.5271630955E+00 -7.8490754911E+00
  1.5707963268E-01 -1.5271630955E+00 -7.7490800688E+00
  1.9198621772E-01 -1.5271630955E+00 -7.7976132061E+00
  2.2689280276E-01 -1.5271630955E+00 -8.2295450008E+00
  2.6179938780E-01 -1.5271630955E+00 -8.1337685144E+00
  2.9670597284E-01 -1.5271630955E+00 -8.0044418713E+00
  3.3161255788E-01 -1.5271630955E+00 -7.7566335682E+00
  3.6651914292E-01 -1.5271630955E+00 -7.6873518420E+00
  4.0142572796E-01 -1.5271630955E+00 -8.1042659891E+00
  4.3633231300E-01 -1.5271630955E+00 -8.7069849069E+00
  4.7123889804E-01 -1.5271630955E+00 -9.3442997947E+00
  5.0614548308E-01 -1.5271630955E+00 -1.0105031827E+01
  5.4105206812E-01 -1.5271630955E+00 -1.0351184670E+01
  5.7595865316E-01 -1.5271630955E+00 -9.7491355952E+00
  6.1086523820E-01 -1.5271630955E+00 -8.5746124956E+00
  6.4577182324E-01 -1.5271630955E+00 -8.3773068240E+00
  6.8067840828E-01 -1.5271630955E+00 -8.7312917270E+00
  7.1558499332E-01 -1.5271630955E+00 -9.2709837818E+00
  7.5049157836E-01 -1.5271630955E+00 -9.6711477993E+00
  7.8539816340E-01 -1.5271630955E+00 -9.3319731219E+00
  8.2030474844E-01 -1.5271630955E+00 -8.7431987690E+00
  8.5521133348E-01 -1.5271630955E+00 -8.3786585486E+00
  8.9011791852E-01 -1.5271630955E+00 -8.1129268032E+00
  9.2502450356E-01 -1.5271630955E+00 -8.2379112176E+00
  9.5993108860E-01 -1.5271630955E+00 -8.4100870531E+00
  9.9483767364E-01 -1.5271630955E+00 -8.8620798979E+00
  1.0297442587E+00 -1.5271630955E+00 -9.1986583182E+00
  1.0646508437E+00 -1.5271630955E+00 -9.3913155597E+00
  1.0995574288E+00 -1.5271630955E+00 -9.2053373087E+00
  1.1344640138E+00 -1.5271630955E+00 -9.1463740326E+00
  1.1693705988E+00 -1.5271630955E+00 -9.4173985220E+00
  1.2042771839E+00 -1.5271630955E+00 -9.3697776066E+00
  1.2391837689E+00 -1.5271630955E+00 -8.5207287393E+00
  1.2740903540E+00 -1.5271630955E+00 -8.0619720495E+00
  1.3089969390E+00 -1.5271630955E+00 -8.0305156954E+00
  1.3439035240E+00 -1.5271630955E+00 -8.0608239757E+00
  1.3788101091E+00 -1.5271630955E+00 -8.1114332193E+00
  1.4137166941E+00 -1.5271630955E+00 -8.1788333517E+00
  1.4486232792E+00 -1.5271630955E+00 -8.2765654075E+00
  1.4835298642E+00 -1.5271630955E+00 -8.5206892856E+00
  1.5184364492E+00 -1.5271630955E+00 -8.7399394866E+00
  1.5533430343E+00 -1.5271630955E+00 -8.8025631094E+00
  1.5882496193E+00 -1.5271630955E+00 -8.8708619741E+00
  1.6231562044E+00 -1.5271630955E+00 -8.8416482441E+00
  1.6580627894E+00 -1.5271630955E+00 -8.6261750104E+00
  1.6929693744E+00 -1.5271630955E+00 -8.8735493228E+00
  1.7278759595E+00 -1.5271630955E+00 -9.7307883157E+00
  1.7627825445E+00 -1.5271630955E+00 -9.8588097953E+00
  1.7976891296E+00 -1.5271630955E+00 -9.8076936005E+00
  1.8325957146E+00 -1.5271630955E+00 -9.7116634210E+00
  1.8675022996E+00 -1.5271630955E+00 -9.4421100327E+00
  1.9024088847E+00 -1.5271630955E+00 -9.3752568853E+00
  1.9373154697E+00 -1.5271630955E+00 -9.0311396157E+00
  1.9722220548E+00 -1.5271630955E+00 -8.4754883911E+00
